Dataset,10%,20%,30%,40%, 50%,60%,70%,80%,90%
Iris,0.904,0.893,0.882,0.872,0.868,0.858,0.853,0.855,0.848
Diabetes,0.994,0.992,0.990,0.989,0.987,0.982,0.978,0.976,0.847
Cancer,0.967,0.965,0.960,0.955,0.945,0.918,0.891,0.858,0.783
COMPAS,0.995,0.995,0.994,0.993,0.992,0.992,0.989,0.987,0.915
