Dataset,10%,20%,30%,40%, 50%,60%,70%,80%,90%
Iris,7.89,10.06,11.66,12.31,12.71,12.87,13.16,13.70,16.35
Diabetes,5.89,8.05,10.22,11.80,13.60,15.53,18.50,22.84,31.32
Cancer,6.65,8.91,11.18,13.06,14.84,16.84,19.75,22.76,27.03
COMPAS,3.56,5.79,8.63,10.89,14.29,17.23,20.98,25.34,31.33
